Embryo,Genotype,Background,Microphthalmia,Anophthalmia,Side_if_Microphthalmia_or_anophthalmia,Spina_Bifida,Curly_Tail,Other_Tail_Abnormalities,HPE,Anterior_Truncation,Smooth_Pointed_Philtrum,Mild_Pointed_Philtrum,Exencephaly,Cyclopia,Stage
211219_Ku_C3H_56_e2_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
211219_Ku_C3H_56_e4_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
211219_Ku_C3H_56_e5_het,HET,C3H,N,N,N,Y,N,N,N,N,N,N,N,N,2
211219_Ku_C3H_56_e6_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
211219_Ku_C3H_56_e7_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
211219_Ku_C3H_57_e1_het,HET,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
211219_Ku_C3H_57_e4_het,HET,C3H,N,N,N,Y,N,N,N,N,N,N,N,N,2
211219_Ku_C3H_57_e5_het,HET,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
211219_Ku_C3H_57_e6_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
211219_Ku_C3H_57_e7_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
211219_Ku_C3H_92_e1_het,HET,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
211219_Ku_C3H_92_e2_het,HET,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
211219_Ku_C3H_92_e3_het,HET,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
211219_Ku_C3H_92_e4_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
220311_C3H_Ku_79_e3_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
220311_C3H_Ku_79_e5_het,HET,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
220311_C3H_Ku_79_e6_wt,WT,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
220313_C3H_Ku_69_e1_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
220313_C3H_Ku_69_e2_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
220313_C3H_Ku_69_e3_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
220313_C3H_Ku_69_e4_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
220313_C3H_Ku_69_e5_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
220313_C3H_Ku_69_e7_het,HET,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
220313_C3H_Ku_82_e1_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
220313_C3H_Ku_82_e2_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
220313_C3H_Ku_82_e3_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
220313_C3H_Ku_82_e4_het,HET,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
220314_C3H_Ku_68_e2_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
220314_C3H_Ku_68_e3_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
220314_C3H_Ku_68_e4_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
220314_C3H_Ku_68_e5_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
220314_C3H_Ku_68_e6_wt,WT,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
220314_C3H_Ku_68_e7_wt,WT,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
220314_C3H_Ku_68_e8_het,HET,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
220314_C3H_Ku_68_e9_wt,WT,C3H,N,N,N,N,N,Y,N,N,N,N,N,N,2
220314_C3H_Ku_86_e1_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
220314_C3H_Ku_86_e2_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
220314_C3H_Ku_86_e4_het,HET,C3H,N,N,N,Y,Y,N,N,N,N,N,N,N,2
220314_C3H_Ku_86_e5_wt,WT,C3H,N,N,N,N,N,N,N,N,N,N,N,N,2
